wrist,S1,I,AM2,r,list
pea,S1,C,AM2,p,bee
bear,S1,C,IN3,b,pear
path,S1,I,AM2,p,bath
pear,S1,C,AM2,p,bear
rake,S1,C,IN3,r,lake
lock,S1,C,AM2,l,rock
wrist,S1,C,IN3,r,list
peach,S1,C,IN1,p,beach
bath,S1,I,IN1,b,path
bin,S1,I,IN1,b,pin
beach,S1,I,AM2,b,peach
rip,S1,C,AM2,r,lip
lamb,S1,C,IN1,l,ram
bug,S1,I,IN2,b,pug
path,S1,C,IN3,p,bath
peach,S1,I,IN1,p,beach
ram,S1,I,IN1,r,lamb
lace,S1,I,AM2,l,race
peach,S1,I,AM2,p,beach
lock,S1,C,AM2,l,rock
bark,S1,C,IN3,b,park
rake,S1,C,IN2,r,lake
bin,S1,C,IN2,b,pin
ram,S1,C,AM2,r,lamb
ram,S1,C,IN1,r,lamb
bark,S1,C,AM2,b,park
pug,S1,C,AM2,p,bug
bath,S1,I,AM2,b,path
park,S1,I,IN2,p,bark
race,S1,C,AM2,r,lace
pug,S1,I,AM2,p,bug
lamb,S1,C,AM2,l,ram
race,S1,I,AM2,r,lace
path,S1,C,AM2,p,bath
park,S1,C,AM2,p,bark
lamp,S1,I,IN2,l,ramp
lip,S1,C,AM2,l,rip
ram,S1,I,AM2,r,lamb
bee,S1,I,IN1,b,pea
lock,S1,C,IN2,l,rock
peach,S1,C,IN2,p,beach
pea,S1,C,IN1,p,bee
bump,S1,C,AM2,b,pump
lace,S1,I,IN2,l,race
bear,S1,C,AM2,b,pear
ramp,S1,C,AM2,r,lamp
pump,S1,I,AM2,p,bump
lip,S1,C,IN2,l,rip
pug,S1,C,IN1,p,bug
rip,S1,C,IN3,r,lip
rip,S1,I,IN2,r,lip
lane,S1,C,AM2,l,rain
rip,S1,C,AM2,r,lip
list,S1,I,AM2,l,wrist
lamb,S1,I,IN3,l,ram
bath,S1,C,IN1,b,path
wrist,S1,I,IN2,r,list
lamb,S1,I,IN2,l,ram
bath,S1,C,IN2,b,path
race,S1,I,IN3,r,lace
pump,S1,I,AM2,p,bump
bump,S1,C,AM2,b,pump
lake,S1,C,AM2,l,rake
rake,S1,I,AM2,r,lake
ram,S1,I,AM2,r,lamb
pug,S1,C,IN2,p,bug
bear,S1,I,IN2,b,pear
rake,S1,C,AM2,r,lake
bump,S1,I,IN3,b,pump
lamp,S1,C,IN1,l,ramp
ramp,S1,I,AM2,r,lamp
lock,S1,I,IN1,l,rock
bin,S1,C,AM2,b,pin
bath,S1,I,IN3,b,path
ramp,S1,C,IN2,r,lamp
path,S1,I,IN3,p,bath
park,S1,C,AM2,p,bark
wrist,S1,C,AM2,r,list
bump,S1,C,IN1,b,pump
lake,S1,I,AM2,l,rake
rock,S1,I,IN2,r,lock
park,S1,C,IN3,p,bark
wrist,S1,I,AM2,r,list
pin,S1,C,IN1,p,bin
lane,S1,I,AM2,l,rain
lake,S1,I,IN1,l,rake
bump,S1,I,AM2,b,pump
bear,S1,I,IN3,b,pear
rip,S1,I,AM2,r,lip
pea,S1,C,AM2,p,bee
bee,S1,C,IN2,b,pea
rake,S1,C,AM2,r,lake
pin,S1,C,AM2,p,bin
bark,S1,C,IN1,b,park
lip,S1,I,IN1,l,rip
lake,S1,C,IN2,l,rake
lock,S1,I,AM2,l,rock
pear,S1,I,IN1,p,bear
rip,S1,I,IN1,r,lip
ramp,S1,I,IN1,r,lamp
rock,S1,C,AM2,r,lock
rain,S1,I,IN2,r,lane
bark,S1,I,AM2,b,park
lace,S1,C,AM2,l,race
lamp,S1,C,AM2,l,ramp
ramp,S1,C,AM2,r,lamp
bark,S1,I,AM2,b,park
list,S1,C,IN3,l,wrist
lake,S1,C,AM2,l,rake
list,S1,C,AM2,l,wrist
