ramp,IN4,r,lamp
bad,IN4,b,pad
bath,AM2,b,path
path,IN3,p,bath
rip,IN1,r,lip
bee,IN3,b,pea
rain,IN1,r,lane
rain,IN2,r,lane
rake,IN3,r,lake
pea,IN2,p,bee
bark,IN3,b,park
lamb,AM1,l,ram
path,IN4,p,bath
rake,IN2,r,lake
bark,AM2,b,park
ram,IN3,r,lamb
park,IN2,p,bark
bin,IN1,b,pin
lake,IN1,l,rake
pump,AM2,p,bump
bug,IN1,b,pug
bug,IN3,b,pug
rake,IN1,r,lake
beach,IN3,b,peach
bet,AM1,b,pet
pin,IN4,p,bin
lip,IN3,l,rip
lane,IN3,l,rain
ram,IN4,r,lamb
bath,IN4,b,path
lamp,IN4,l,ramp
bump,IN3,b,pump
bath,IN4,b,path
rip,AM2,r,lip
pin,AM1,p,bin
lock,IN1,l,rock
bet,IN4,b,pet
bump,IN2,b,pump
lace,IN1,l,race
pin,IN2,p,bin
race,AM2,r,lace
beach,AM1,b,peach
lock,IN3,l,rock
rock,IN3,r,lock
bail,AM1,b,pail
lock,AM2,l,rock
bee,AM2,b,pea
ramp,AM2,r,lamp
pump,AM1,p,bump
ramp,IN2,r,lamp
race,IN1,r,lace
bail,AM1,b,pail
bin,IN4,b,pin
peach,IN2,p,beach
lamp,IN1,l,ramp
bat,AM1,b,pat
rock,IN2,r,lock
pump,IN3,p,bump
lane,IN2,l,rain
beach,IN2,b,peach
bin,IN2,b,pin
bet,AM1,b,pet
pat,AM1,p,bat
bat,IN4,b,pat
pat,AM1,p,bat
pump,IN2,p,bump
pea,AM2,p,bee
ramp,AM1,r,lamp
pug,IN1,p,bug
bad,IN4,b,pad
pail,AM1,p,bail
bug,IN2,b,pug
pad,IN4,p,bad
lamb,IN1,l,ram
lamp,AM1,l,ramp
bath,IN1,b,path
lip,IN1,l,rip
pad,AM1,p,bad
pet,IN4,p,bet
bark,IN2,b,park
bear,IN3,b,pear
park,IN1,p,bark
wrist,AM2,r,list
ram,AM1,r,lamb
bath,IN3,b,path
pin,AM1,p,bin
lamb,AM2,l,ram
bad,AM1,b,pad
park,AM2,p,bark
bath,IN2,b,path
rip,IN3,r,lip
beach,IN4,b,peach
pin,IN3,p,bin
bug,AM2,b,pug
lip,IN2,l,rip
lamb,IN3,l,ram
bee,IN1,b,pea
ram,AM1,r,lamb
pail,IN4,p,bail
path,AM2,p,bath
bump,IN1,b,pump
bail,IN4,b,pail
peach,IN3,p,beach
ramp,IN3,r,lamp
bin,AM2,b,pin
ramp,AM1,r,lamp
bad,AM1,b,pad
bail,IN4,b,pail
path,AM1,p,bath
beach,IN1,b,peach
bump,IN4,b,pump
pat,IN4,p,bat
rock,AM2,r,lock
pug,AM2,p,bug
wrist,IN2,r,list
lake,IN3,l,rake
rip,IN2,r,lip
pail,AM1,p,bail
peach,IN1,p,beach
race,IN3,r,lace
ram,IN1,r,lamb
beach,AM1,b,peach
ram,IN2,r,lamb
ram,IN4,r,lamb
peach,AM2,p,beach
path,IN4,p,bath
pin,IN1,p,bin
bin,AM1,b,pin
bin,AM1,b,pin
bear,AM2,b,pear
bet,IN4,b,pet
lip,AM2,l,rip
pin,AM2,p,bin
bark,IN1,b,park
pet,AM1,p,bet
lace,IN2,l,race
lace,IN3,l,race
list,IN3,l,wrist
bat,IN4,b,pat
bump,AM1,b,pump
peach,IN4,p,beach
list,IN2,l,wrist
ramp,IN1,r,lamp
list,IN1,l,wrist
lamb,IN4,l,ram
lane,AM2,l,rain
path,IN1,p,bath
bear,IN2,b,pear
lamp,AM2,l,ramp
lamb,IN2,l,ram
pump,IN1,p,bump
pump,IN4,p,bump
pad,AM1,p,bad
peach,IN4,p,beach
bat,AM1,b,pat
lamp,IN2,l,ramp
path,AM1,p,bath
bee,IN2,b,pea
bump,AM1,b,pump
pump,AM1,p,bump
pump,IN4,p,bump
pear,AM2,p,bear
beach,AM2,b,peach
rock,IN1,r,lock
lamb,AM1,l,ram
lake,IN2,l,rake
pail,IN4,p,bail
lake,AM2,l,rake
bath,AM1,b,path
ram,AM2,r,lamb
pear,IN1,p,bear
peach,AM1,p,beach
peach,AM1,p,beach
bin,IN3,b,pin
path,IN2,p,bath
lane,IN1,l,rain
lamb,IN4,l,ram
lock,IN2,l,rock
pat,IN4,p,bat
lamp,IN3,l,ramp
bump,IN4,b,pump
pug,IN2,p,bug
list,AM2,l,wrist
lamp,IN4,l,ramp
bear,IN1,b,pear
park,IN3,p,bark
bath,AM1,b,path
lace,AM2,l,race
race,IN2,r,lace
pear,IN3,p,bear
pin,IN4,p,bin
pea,IN1,p,bee
rake,AM2,r,lake
pear,IN2,p,bear
pet,AM1,p,bet
bin,IN4,b,pin
wrist,IN3,r,list
beach,IN4,b,peach
pet,IN4,p,bet
rain,AM2,r,lane
wrist,IN1,r,list
pea,IN3,p,bee
pad,IN4,p,bad
pug,IN3,p,bug
ramp,IN4,r,lamp
bump,AM2,b,pump
rain,IN3,r,lane
lamp,AM1,l,ramp
